N_relax:10000	 Nsample:500
0.01	-771.834	24.82	596124	955.848
0.11	-809.206	29.164	655143	1313.02
0.21	-848.814	31.38	720877	1484.54
0.31	-887.836	32.488	788616	1664.96
0.41	-923.222	35.364	852729	2013.24
0.51	-961.172	40.096	924222	2562.5
0.61	-998.43	42.668	997212	2878.36
0.71	-1036.92	52.372	1.07559e+06	4249.21
0.81	-1074.33	59.052	1.15458e+06	5726.28
0.91	-1115.21	67.116	1.24415e+06	7136.95
1.01	-1160.38	99.444	1.34692e+06	15339.3
1.11	-1209.44	164.672	1.46326e+06	39884.9
1.21	-1265.87	204.208	1.60302e+06	64185.2
1.31	-1353.98	632.992	1.83432e+06	443277
1.41	-1433.62	896.72	2.05571e+06	806366
1.51	-1470.44	956.752	2.16243e+06	915897
1.61	-1491.86	981.592	2.22581e+06	963778
1.71	-1505.36	996.412	2.26622e+06	992970
1.81	-1514.81	1005.94	2.29474e+06	1.01199e+06
1.91	-1521.67	1012.2	2.31552e+06	1.02459e+06
2.01	-1526.1	1016.14	2.32902e+06	1.03257e+06
2.11	-1528.77	1018.35	2.33717e+06	1.03706e+06
2.21	-1530.64	1019.91	2.34287e+06	1.04022e+06
2.31	-1532.33	1021.26	2.34805e+06	1.04297e+06
2.41	-1533.28	1022	2.35096e+06	1.04449e+06
2.51	-1533.95	1022.52	2.35301e+06	1.04554e+06
2.61	-1534.44	1022.88	2.35451e+06	1.04629e+06
2.71	-1534.95	1023.25	2.35608e+06	1.04704e+06
2.81	-1535.22	1023.44	2.3569e+06	1.04743e+06
2.91	-1535.42	1023.6	2.35753e+06	1.04776e+06
